result_name,reported_value,source_file,generation_script,verified,risk_reason,recommended_action
legacy_window_array_shape,"32100 x 2048",data/CWRU/Processed_Data/cwru_all_windows.npy,data_input.py,verified,"工件形状可核对，但完整文件先滑窗再随机拆分，存在同源及重叠窗口泄漏","只保留为旧工件证据；新实验必须从当前 manifest 重建"
legacy_label_array_shape,32100,data/CWRU/Processed_Data/cwru_all_labels.npy,data_input.py,verified,"工件长度可核对，但继承旧拆分泄漏与递归文件匹配风险","只用于审计，不进入新实验"
legacy_selected_feature_shape,"32100 x 55",data/CWRU/Processed_Data/final_selected_features.npy,feature_pipeline_sliding_tstks.py,verified,"55 维是在全量窗口上拟合 scaler 并选择 K，测试信息参与选择","不得沿用；P2/P3 后仅在 train 拟合并用 val 选择 K"
legacy_feature_dimension,151,feature_pipeline_sliding_tstks.py,feature_pipeline_sliding_tstks.py,verified,"仅验证旧代码声明的 20+16+10+5+100 顺序；新仓库尚未逐项 registry 与数值回归","P2 建立 151 项 registry 后重新验证"
paper_cwru_accuracy,99.05%,计算机工程与设计.docx,"first_modify/draw3.py; first_modify/3.3.2.py; pareto_chart.py",legacy_unverified,"绘图与表格脚本硬编码；旧流程有数据泄漏，未找到可从原始预测独立重算的无泄漏证据","论文中暂不继续作为新方法结果引用，等待五种子无泄漏复现"
diamond_experiment_accuracy,98.74%,output/gpu_train_cpu_test/experiment_results.csv,exp_models.py,legacy_unverified,"CSV 可定位但训练使用旧窗口与测试集选优流程，不能证明独立测试性能","仅作为 legacy 对照，不进入新论文主表"
lightgbm_experiment_accuracy,99.44%,output/gpu_train_cpu_test/experiment_results.csv,exp_models.py,legacy_unverified,"高分来自旧 55 维/随机窗口流程，且未保留独立预测以核验","在统一 manifest 上重新训练并导出 predictions.csv"
seu_reported_accuracy,99.55%,计算机工程与设计.docx,data/SEU/data/data_input_seu.py,legacy_unverified,"属于 SEU 重新训练而非严格零样本跨域；拆分和选择过程未完成独立核验","改称域内重训结果或按新协议重做，不能声称跨域泛化"
diamond_parameter_count,"143242 (0.143242 M)",output/gpu_train_cpu_test/student_final_gpu.h5,"model_training_final_v2.py; tri_train.py",verified,"H5 结构可核对；只验证参数量，不验证准确率或延迟","统一命名为 Diamond-MLP 55-128-512-128-10 + BN"
narrow_mlp_parameter_count,"56138 (0.056138 M)",data/CWRU/Processed_Data/run1_comparison.py,data/CWRU/Processed_Data/run1_comparison.py,verified,"参数公式可核对，但它不是 143242 参数的 Diamond-MLP","统一命名为 Narrow-MLP 55-256-128-64-10，禁止与 Diamond 混称"
teacher_parameter_count,5386698,output/gpu_train_cpu_test/best_teacher_v2.h5,"model_training_final_v2.py; tri_train.py",verified,"H5 结构可核对；旧实现为 MaxPool+Flatten 且仅 Dense 后 BN，与原稿的逐块 BN+GAP 描述不一致","P3 明确选择一个教师定义并生成逐层结构/FLOPs 报告"
reported_classifier_latency,0.0083 ms,计算机工程与设计.docx,"first_modify/draw3.py; pareto_chart.py; first_modify/3.3.2.py",legacy_unverified,"数值被直接硬编码或只计临时 Dense 分类器前向，不含滤波、TSTKS、FFT、WPT、scaler 与特征选择","删除端到端表述；以后分别报告特征前端、分类器和完整管线延迟"
diamond_csv_latency,"0.0060-0.0100 ms",output/gpu_train_cpu_test/experiment_results_full_55d.csv,exp_models.py,legacy_unverified,"多个 CSV 口径不一致，缺少设备、预热、批量、重复次数与原始计时记录","按固定 benchmark 协议重测并保存原始 JSON/CSV"
paper_feature_count,55,计算机工程与设计.docx,feature_pipeline_sliding_tstks.py,legacy_unverified,"K 在全量数据上搜索，测试集参与特征数选择；不存在无泄漏最优性证据","P3 仅用 train 拟合 XGBoost、用 val 从 30/40/55/70/100/151 选择 K"
paper_teacher_architecture,"Conv64/128/256/512 + BN + GAP",计算机工程与设计.docx,"model_training_final_v2.py; tri_train.py",legacy_unverified,"文字结构与保存的 MaxPool+Flatten 教师不一致，来源与训练过程不闭合","P3 固定教师配置、代码、checkpoint 哈希和逐层报告"
legacy_tstks_threshold,0.45,feature_pipeline_sliding_tstks.py,feature_pipeline_sliding_tstks.py,legacy_unverified,"旧实现是平坦枚举 KS，不是真正三叉搜索；阈值无训练集校准证据","仅保留为 legacy baseline；新实现阈值只能由训练参考信号校准"
paper_figures_and_tables,"multiple PNG/CSV outputs",output/,"first_modify/*.py; assorted plotting scripts",legacy_unverified,"部分图硬编码数值，部分图片找不到唯一生成脚本，无法从原始预测追溯","所有新图仅从受版本控制的 CSV/JSON 自动生成并记录命令"
